"export-plot data (NetLogo 6.1.1)"
"PredatorPrey.nlogo"
"12/12/2019 13:55:22:460 +0000"

"MODEL SETTINGS"
"rabbits-gain-from-food","wolf-gain-from-food","wolf-attack-range","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-rabbits","initial-number-sheep","model-version","rabbits-reproduce","sheep-gain-from-food","max-ticks","grass-regrowth-time","minimum-seperation","flock-size-threshold-rabbit","reproduction-flag","flock-size-threshold-sheep","allow-flocking","sheep-reproduce"
"4","20","0","false","5","50","50","50","""sheep-wolves""","4","4","500","30","1.5","13","true","10","true","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","315","0","607","true","""sheep""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","292"
"""wolves""","true","0","1","10","292"
"""grass / 4""","true","0","1","55","0"
"""rabbits""","true","0","1","25","292"

"""sheep""",,,,"""wolves""",,,,"""grass / 4""",,,,"""rabbits"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50","27","true","0","50","10","true",,,,,"0","50","25","true"
"1","49","27","true","1","52","10","true",,,,,"1","52","25","true"
"2","49","27","true","2","52","10","true",,,,,"2","52","25","true"
"3","49","27","true","3","51","10","true",,,,,"3","56","25","true"
"4","50","27","true","4","52","10","true",,,,,"4","56","25","true"
"5","49","27","true","5","55","10","true",,,,,"5","55","25","true"
"6","50","27","true","6","58","10","true",,,,,"6","56","25","true"
"7","50","27","true","7","61","10","true",,,,,"7","56","25","true"
"8","53","27","true","8","62","10","true",,,,,"8","59","25","true"
"9","53","27","true","9","62","10","true",,,,,"9","63","25","true"
"10","56","27","true","10","63","10","true",,,,,"10","66","25","true"
"11","56","27","true","11","61","10","true",,,,,"11","68","25","true"
"12","57","27","true","12","60","10","true",,,,,"12","72","25","true"
"13","60","27","true","13","52","10","true",,,,,"13","73","25","true"
"14","62","27","true","14","49","10","true",,,,,"14","74","25","true"
"15","65","27","true","15","47","10","true",,,,,"15","77","25","true"
"16","69","27","true","16","49","10","true",,,,,"16","80","25","true"
"17","68","27","true","17","45","10","true",,,,,"17","81","25","true"
"18","69","27","true","18","49","10","true",,,,,"18","82","25","true"
"19","70","27","true","19","47","10","true",,,,,"19","83","25","true"
"20","71","27","true","20","51","10","true",,,,,"20","83","25","true"
"21","72","27","true","21","47","10","true",,,,,"21","84","25","true"
"22","75","27","true","22","47","10","true",,,,,"22","84","25","true"
"23","77","27","true","23","44","10","true",,,,,"23","86","25","true"
"24","77","27","true","24","47","10","true",,,,,"24","88","25","true"
"25","75","27","true","25","48","10","true",,,,,"25","89","25","true"
"26","75","27","true","26","49","10","true",,,,,"26","91","25","true"
"27","81","27","true","27","49","10","true",,,,,"27","94","25","true"
"28","81","27","true","28","48","10","true",,,,,"28","97","25","true"
"29","83","27","true","29","51","10","true",,,,,"29","100","25","true"
"30","84","27","true","30","51","10","true",,,,,"30","98","25","true"
"31","86","27","true","31","52","10","true",,,,,"31","98","25","true"
"32","89","27","true","32","53","10","true",,,,,"32","102","25","true"
"33","93","27","true","33","55","10","true",,,,,"33","106","25","true"
"34","97","27","true","34","53","10","true",,,,,"34","108","25","true"
"35","96","27","true","35","55","10","true",,,,,"35","114","25","true"
"36","98","27","true","36","58","10","true",,,,,"36","114","25","true"
"37","97","27","true","37","56","10","true",,,,,"37","118","25","true"
"38","99","27","true","38","57","10","true",,,,,"38","122","25","true"
"39","100","27","true","39","59","10","true",,,,,"39","123","25","true"
"40","103","27","true","40","64","10","true",,,,,"40","123","25","true"
"41","106","27","true","41","61","10","true",,,,,"41","126","25","true"
"42","106","27","true","42","57","10","true",,,,,"42","129","25","true"
"43","105","27","true","43","59","10","true",,,,,"43","137","25","true"
"44","107","27","true","44","55","10","true",,,,,"44","135","25","true"
"45","106","27","true","45","55","10","true",,,,,"45","134","25","true"
"46","108","27","true","46","57","10","true",,,,,"46","138","25","true"
"47","107","27","true","47","58","10","true",,,,,"47","146","25","true"
"48","113","27","true","48","61","10","true",,,,,"48","146","25","true"
"49","119","27","true","49","63","10","true",,,,,"49","151","25","true"
"50","118","27","true","50","62","10","true",,,,,"50","153","25","true"
"51","121","27","true","51","65","10","true",,,,,"51","155","25","true"
"52","126","27","true","52","62","10","true",,,,,"52","163","25","true"
"53","130","27","true","53","64","10","true",,,,,"53","166","25","true"
"54","131","27","true","54","61","10","true",,,,,"54","168","25","true"
"55","132","27","true","55","57","10","true",,,,,"55","171","25","true"
"56","131","27","true","56","60","10","true",,,,,"56","178","25","true"
"57","135","27","true","57","59","10","true",,,,,"57","183","25","true"
"58","138","27","true","58","63","10","true",,,,,"58","187","25","true"
"59","140","27","true","59","67","10","true",,,,,"59","189","25","true"
"60","142","27","true","60","70","10","true",,,,,"60","185","25","true"
"61","144","27","true","61","73","10","true",,,,,"61","185","25","true"
"62","142","27","true","62","73","10","true",,,,,"62","187","25","true"
"63","145","27","true","63","77","10","true",,,,,"63","186","25","true"
"64","150","27","true","64","77","10","true",,,,,"64","185","25","true"
"65","155","27","true","65","79","10","true",,,,,"65","187","25","true"
"66","162","27","true","66","79","10","true",,,,,"66","192","25","true"
"67","166","27","true","67","82","10","true",,,,,"67","192","25","true"
"68","172","27","true","68","84","10","true",,,,,"68","191","25","true"
"69","175","27","true","69","87","10","true",,,,,"69","188","25","true"
"70","177","27","true","70","88","10","true",,,,,"70","188","25","true"
"71","185","27","true","71","93","10","true",,,,,"71","191","25","true"
"72","183","27","true","72","94","10","true",,,,,"72","186","25","true"
"73","186","27","true","73","100","10","true",,,,,"73","186","25","true"
"74","189","27","true","74","108","10","true",,,,,"74","194","25","true"
"75","188","27","true","75","109","10","true",,,,,"75","191","25","true"
"76","190","27","true","76","106","10","true",,,,,"76","187","25","true"
"77","189","27","true","77","104","10","true",,,,,"77","189","25","true"
"78","191","27","true","78","110","10","true",,,,,"78","186","25","true"
"79","188","27","true","79","110","10","true",,,,,"79","189","25","true"
"80","187","27","true","80","114","10","true",,,,,"80","185","25","true"
"81","184","27","true","81","113","10","true",,,,,"81","188","25","true"
"82","191","27","true","82","114","10","true",,,,,"82","193","25","true"
"83","188","27","true","83","116","10","true",,,,,"83","191","25","true"
"84","180","27","true","84","118","10","true",,,,,"84","193","25","true"
