"export-plot data (NetLogo 6.1.1)"
"PredatorPrey.nlogo"
"12/12/2019 14:32:07:846 +0000"

"MODEL SETTINGS"
"rabbits-gain-from-food","wolf-gain-from-food","wolf-attack-range","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-rabbits","initial-number-sheep","model-version","rabbits-reproduce","sheep-gain-from-food","max-ticks","grass-regrowth-time","minimum-seperation","flock-size-threshold-rabbit","reproduction-flag","flock-size-threshold-sheep","allow-flocking","sheep-reproduce"
"4","20","5","false","50","5","50","50","""sheep-wolves""","4","4","500","30","1.5","13","true","10","true","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","620","0","2060","true","""sheep""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","500"
"""wolves""","true","0","1","10","500"
"""grass / 4""","true","0","1","55","0"
"""rabbits""","true","0","1","25","500"

"""sheep""",,,,"""wolves""",,,,"""grass / 4""",,,,"""rabbits"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50","27","true","0","50","10","true",,,,,"0","50","25","true"
"1","47","27","true","1","52","10","true",,,,,"1","53","25","true"
"2","44","27","true","2","54","10","true",,,,,"2","54","25","true"
"3","38","27","true","3","56","10","true",,,,,"3","56","25","true"
"4","33","27","true","4","58","10","true",,,,,"4","59","25","true"
"5","32","27","true","5","57","10","true",,,,,"5","60","25","true"
"6","30","27","true","6","57","10","true",,,,,"6","64","25","true"
"7","28","27","true","7","58","10","true",,,,,"7","67","25","true"
"8","23","27","true","8","59","10","true",,,,,"8","67","25","true"
"9","20","27","true","9","63","10","true",,,,,"9","68","25","true"
"10","18","27","true","10","58","10","true",,,,,"10","71","25","true"
"11","15","27","true","11","57","10","true",,,,,"11","74","25","true"
"12","13","27","true","12","58","10","true",,,,,"12","77","25","true"
"13","11","27","true","13","61","10","true",,,,,"13","79","25","true"
"14","8","27","true","14","62","10","true",,,,,"14","82","25","true"
"15","8","27","true","15","63","10","true",,,,,"15","85","25","true"
"16","8","27","true","16","61","10","true",,,,,"16","91","25","true"
"17","8","27","true","17","65","10","true",,,,,"17","100","25","true"
"18","6","27","true","18","63","10","true",,,,,"18","105","25","true"
"19","5","27","true","19","63","10","true",,,,,"19","108","25","true"
"20","2","27","true","20","62","10","true",,,,,"20","111","25","true"
"21","1","27","true","21","63","10","true",,,,,"21","115","25","true"
"22","2","27","true","22","64","10","true",,,,,"22","117","25","true"
"23","2","27","true","23","63","10","true",,,,,"23","124","25","true"
"24","2","27","true","24","65","10","true",,,,,"24","129","25","true"
"25","2","27","true","25","57","10","true",,,,,"25","137","25","true"
"26","2","27","true","26","51","10","true",,,,,"26","140","25","true"
"27","2","27","true","27","51","10","true",,,,,"27","149","25","true"
"28","2","27","true","28","49","10","true",,,,,"28","154","25","true"
"29","2","27","true","29","47","10","true",,,,,"29","160","25","true"
"30","2","27","true","30","45","10","true",,,,,"30","159","25","true"
"31","2","27","true","31","47","10","true",,,,,"31","165","25","true"
"32","2","27","true","32","39","10","true",,,,,"32","168","25","true"
"33","1","27","true","33","35","10","true",,,,,"33","174","25","true"
"34","1","27","true","34","34","10","true",,,,,"34","177","25","true"
"35","1","27","true","35","32","10","true",,,,,"35","181","25","true"
"36","1","27","true","36","29","10","true",,,,,"36","185","25","true"
"37","1","27","true","37","29","10","true",,,,,"37","192","25","true"
"38","1","27","true","38","27","10","true",,,,,"38","198","25","true"
"39","2","27","true","39","23","10","true",,,,,"39","202","25","true"
"40","2","27","true","40","22","10","true",,,,,"40","214","25","true"
"41","2","27","true","41","22","10","true",,,,,"41","222","25","true"
"42","2","27","true","42","21","10","true",,,,,"42","228","25","true"
"43","1","27","true","43","22","10","true",,,,,"43","244","25","true"
"44","1","27","true","44","18","10","true",,,,,"44","250","25","true"
"45","0","27","true","45","14","10","true",,,,,"45","259","25","true"
"46","0","27","true","46","15","10","true",,,,,"46","273","25","true"
"47","0","27","true","47","11","10","true",,,,,"47","282","25","true"
"48","0","27","true","48","11","10","true",,,,,"48","291","25","true"
"49","0","27","true","49","11","10","true",,,,,"49","311","25","true"
"50","0","27","true","50","12","10","true",,,,,"50","321","25","true"
"51","0","27","true","51","13","10","true",,,,,"51","334","25","true"
"52","0","27","true","52","13","10","true",,,,,"52","343","25","true"
"53","0","27","true","53","11","10","true",,,,,"53","349","25","true"
"54","0","27","true","54","11","10","true",,,,,"54","360","25","true"
"55","0","27","true","55","12","10","true",,,,,"55","373","25","true"
"56","0","27","true","56","11","10","true",,,,,"56","392","25","true"
"57","0","27","true","57","12","10","true",,,,,"57","406","25","true"
"58","0","27","true","58","12","10","true",,,,,"58","425","25","true"
"59","0","27","true","59","12","10","true",,,,,"59","437","25","true"
"60","0","27","true","60","12","10","true",,,,,"60","454","25","true"
"61","0","27","true","61","12","10","true",,,,,"61","472","25","true"
"62","0","27","true","62","13","10","true",,,,,"62","491","25","true"
"63","0","27","true","63","14","10","true",,,,,"63","507","25","true"
"64","0","27","true","64","14","10","true",,,,,"64","530","25","true"
"65","0","27","true","65","15","10","true",,,,,"65","550","25","true"
"66","0","27","true","66","15","10","true",,,,,"66","567","25","true"
"67","0","27","true","67","15","10","true",,,,,"67","590","25","true"
"68","0","27","true","68","16","10","true",,,,,"68","607","25","true"
"69","0","27","true","69","16","10","true",,,,,"69","625","25","true"
"70","0","27","true","70","18","10","true",,,,,"70","655","25","true"
"71","0","27","true","71","21","10","true",,,,,"71","667","25","true"
"72","0","27","true","72","22","10","true",,,,,"72","698","25","true"
"73","0","27","true","73","22","10","true",,,,,"73","729","25","true"
"74","0","27","true","74","26","10","true",,,,,"74","749","25","true"
"75","0","27","true","75","27","10","true",,,,,"75","772","25","true"
"76","0","27","true","76","28","10","true",,,,,"76","796","25","true"
"77","0","27","true","77","30","10","true",,,,,"77","818","25","true"
"78","0","27","true","78","29","10","true",,,,,"78","838","25","true"
"79","0","27","true","79","30","10","true",,,,,"79","873","25","true"
"80","0","27","true","80","31","10","true",,,,,"80","893","25","true"
"81","0","27","true","81","31","10","true",,,,,"81","924","25","true"
"82","0","27","true","82","32","10","true",,,,,"82","948","25","true"
"83","0","27","true","83","34","10","true",,,,,"83","977","25","true"
"84","0","27","true","84","38","10","true",,,,,"84","1001","25","true"
"85","0","27","true","85","39","10","true",,,,,"85","1031","25","true"
"86","0","27","true","86","40","10","true",,,,,"86","1057","25","true"
"87","0","27","true","87","41","10","true",,,,,"87","1103","25","true"
"88","0","27","true","88","44","10","true",,,,,"88","1146","25","true"
"89","0","27","true","89","46","10","true",,,,,"89","1174","25","true"
"90","0","27","true","90","48","10","true",,,,,"90","1202","25","true"
"91","0","27","true","91","52","10","true",,,,,"91","1234","25","true"
"92","0","27","true","92","54","10","true",,,,,"92","1255","25","true"
"93","0","27","true","93","58","10","true",,,,,"93","1297","25","true"
"94","0","27","true","94","58","10","true",,,,,"94","1327","25","true"
"95","0","27","true","95","57","10","true",,,,,"95","1358","25","true"
"96","0","27","true","96","59","10","true",,,,,"96","1393","25","true"
"97","0","27","true","97","62","10","true",,,,,"97","1426","25","true"
"98","0","27","true","98","65","10","true",,,,,"98","1456","25","true"
"99","0","27","true","99","63","10","true",,,,,"99","1487","25","true"
"100","0","27","true","100","67","10","true",,,,,"100","1503","25","true"
"101","0","27","true","101","68","10","true",,,,,"101","1543","25","true"
"102","0","27","true","102","72","10","true",,,,,"102","1583","25","true"
"103","0","27","true","103","78","10","true",,,,,"103","1615","25","true"
"104","0","27","true","104","84","10","true",,,,,"104","1650","25","true"
"105","0","27","true","105","85","10","true",,,,,"105","1687","25","true"
"106","0","27","true","106","91","10","true",,,,,"106","1702","25","true"
"107","0","27","true","107","94","10","true",,,,,"107","1728","25","true"
"108","0","27","true","108","98","10","true",,,,,"108","1767","25","true"
"109","0","27","true","109","101","10","true",,,,,"109","1791","25","true"
"110","0","27","true","110","109","10","true",,,,,"110","1812","25","true"
"111","0","27","true","111","114","10","true",,,,,"111","1836","25","true"
"112","0","27","true","112","119","10","true",,,,,"112","1849","25","true"
"113","0","27","true","113","122","10","true",,,,,"113","1874","25","true"
"114","0","27","true","114","126","10","true",,,,,"114","1878","25","true"
"115","0","27","true","115","133","10","true",,,,,"115","1887","25","true"
"116","0","27","true","116","141","10","true",,,,,"116","1910","25","true"
"117","0","27","true","117","146","10","true",,,,,"117","1900","25","true"
"118","0","27","true","118","156","10","true",,,,,"118","1911","25","true"
"119","0","27","true","119","159","10","true",,,,,"119","1899","25","true"
"120","0","27","true","120","171","10","true",,,,,"120","1912","25","true"
"121","0","27","true","121","176","10","true",,,,,"121","1910","25","true"
"122","0","27","true","122","189","10","true",,,,,"122","1929","25","true"
"123","0","27","true","123","195","10","true",,,,,"123","1930","25","true"
"124","0","27","true","124","208","10","true",,,,,"124","1911","25","true"
"125","0","27","true","125","221","10","true",,,,,"125","1898","25","true"
"126","0","27","true","126","226","10","true",,,,,"126","1889","25","true"
"127","0","27","true","127","236","10","true",,,,,"127","1880","25","true"
"128","0","27","true","128","248","10","true",,,,,"128","1859","25","true"
"129","0","27","true","129","255","10","true",,,,,"129","1833","25","true"
"130","0","27","true","130","263","10","true",,,,,"130","1807","25","true"
"131","0","27","true","131","277","10","true",,,,,"131","1759","25","true"
"132","0","27","true","132","286","10","true",,,,,"132","1716","25","true"
"133","0","27","true","133","298","10","true",,,,,"133","1656","25","true"
"134","0","27","true","134","320","10","true",,,,,"134","1612","25","true"
"135","0","27","true","135","334","10","true",,,,,"135","1568","25","true"
"136","0","27","true","136","355","10","true",,,,,"136","1509","25","true"
"137","0","27","true","137","379","10","true",,,,,"137","1432","25","true"
"138","0","27","true","138","395","10","true",,,,,"138","1363","25","true"
"139","0","27","true","139","418","10","true",,,,,"139","1284","25","true"
"140","0","27","true","140","434","10","true",,,,,"140","1209","25","true"
"141","0","27","true","141","459","10","true",,,,,"141","1133","25","true"
"142","0","27","true","142","493","10","true",,,,,"142","1041","25","true"
"143","0","27","true","143","520","10","true",,,,,"143","963","25","true"
"144","0","27","true","144","554","10","true",,,,,"144","877","25","true"
"145","0","27","true","145","573","10","true",,,,,"145","794","25","true"
"146","0","27","true","146","598","10","true",,,,,"146","707","25","true"
"147","0","27","true","147","624","10","true",,,,,"147","621","25","true"
"148","0","27","true","148","657","10","true",,,,,"148","547","25","true"
"149","0","27","true","149","695","10","true",,,,,"149","484","25","true"
"150","0","27","true","150","731","10","true",,,,,"150","422","25","true"
"151","0","27","true","151","767","10","true",,,,,"151","368","25","true"
"152","0","27","true","152","815","10","true",,,,,"152","318","25","true"
"153","0","27","true","153","859","10","true",,,,,"153","293","25","true"
"154","0","27","true","154","896","10","true",,,,,"154","255","25","true"
"155","0","27","true","155","927","10","true",,,,,"155","225","25","true"
"156","0","27","true","156","961","10","true",,,,,"156","215","25","true"
"157","0","27","true","157","1011","10","true",,,,,"157","214","25","true"
"158","0","27","true","158","1053","10","true",,,,,"158","208","25","true"
"159","0","27","true","159","1095","10","true",,,,,"159","202","25","true"
"160","0","27","true","160","1132","10","true",,,,,"160","205","25","true"
"161","0","27","true","161","1178","10","true",,,,,"161","201","25","true"
"162","0","27","true","162","1228","10","true",,,,,"162","211","25","true"
"163","0","27","true","163","1269","10","true",,,,,"163","219","25","true"
"164","0","27","true","164","1326","10","true",,,,,"164","222","25","true"
"165","0","27","true","165","1355","10","true",,,,,"165","219","25","true"
"166","0","27","true","166","1389","10","true",,,,,"166","214","25","true"
"167","0","27","true","167","1421","10","true",,,,,"167","221","25","true"
"168","0","27","true","168","1425","10","true",,,,,"168","223","25","true"
"169","0","27","true","169","1469","10","true",,,,,"169","220","25","true"
"170","0","27","true","170","1491","10","true",,,,,"170","223","25","true"
"171","0","27","true","171","1520","10","true",,,,,"171","219","25","true"
"172","0","27","true","172","1568","10","true",,,,,"172","227","25","true"
"173","0","27","true","173","1582","10","true",,,,,"173","237","25","true"
"174","0","27","true","174","1565","10","true",,,,,"174","237","25","true"
"175","0","27","true","175","1571","10","true",,,,,"175","235","25","true"
"176","0","27","true","176","1561","10","true",,,,,"176","241","25","true"
"177","0","27","true","177","1546","10","true",,,,,"177","243","25","true"
"178","0","27","true","178","1545","10","true",,,,,"178","237","25","true"
"179","0","27","true","179","1523","10","true",,,,,"179","240","25","true"
"180","0","27","true","180","1502","10","true",,,,,"180","238","25","true"
