"export-plot data (NetLogo 6.1.1)"
"PredatorPrey.nlogo"
"12/12/2019 13:36:56:964 +0000"

"MODEL SETTINGS"
"rabbits-gain-from-food","wolf-gain-from-food","wolf-attack-range","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-rabbits","initial-number-sheep","model-version","rabbits-reproduce","sheep-gain-from-food","max-ticks","grass-regrowth-time","minimum-seperation","flock-size-threshold-rabbit","reproduction-flag","flock-size-threshold-sheep","allow-flocking","sheep-reproduce"
"4","20","0","false","5","50","50","50","""sheep-wolves""","4","4","500","30","1.5","13","true","10","false","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","495","0","33500","true","""sheep""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","458"
"""wolves""","true","0","1","10","458"
"""grass / 4""","true","0","1","55","0"
"""rabbits""","true","0","1","25","458"

"""sheep""",,,,"""wolves""",,,,"""grass / 4""",,,,"""rabbits"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50","27","true","0","50","10","true",,,,,"0","50","25","true"
"1","53","27","true","1","51","10","true",,,,,"1","50","25","true"
"2","54","27","true","2","49","10","true",,,,,"2","49","25","true"
"3","55","27","true","3","49","10","true",,,,,"3","48","25","true"
"4","55","27","true","4","51","10","true",,,,,"4","51","25","true"
"5","59","27","true","5","50","10","true",,,,,"5","51","25","true"
"6","59","27","true","6","46","10","true",,,,,"6","53","25","true"
"7","57","27","true","7","47","10","true",,,,,"7","54","25","true"
"8","62","27","true","8","49","10","true",,,,,"8","56","25","true"
"9","63","27","true","9","48","10","true",,,,,"9","57","25","true"
"10","63","27","true","10","50","10","true",,,,,"10","57","25","true"
"11","64","27","true","11","52","10","true",,,,,"11","59","25","true"
"12","66","27","true","12","52","10","true",,,,,"12","60","25","true"
"13","66","27","true","13","56","10","true",,,,,"13","59","25","true"
"14","67","27","true","14","53","10","true",,,,,"14","61","25","true"
"15","67","27","true","15","50","10","true",,,,,"15","64","25","true"
"16","69","27","true","16","46","10","true",,,,,"16","71","25","true"
"17","67","27","true","17","43","10","true",,,,,"17","73","25","true"
"18","69","27","true","18","40","10","true",,,,,"18","75","25","true"
"19","72","27","true","19","44","10","true",,,,,"19","81","25","true"
"20","76","27","true","20","45","10","true",,,,,"20","86","25","true"
"21","78","27","true","21","42","10","true",,,,,"21","89","25","true"
"22","80","27","true","22","42","10","true",,,,,"22","97","25","true"
"23","83","27","true","23","45","10","true",,,,,"23","103","25","true"
"24","86","27","true","24","47","10","true",,,,,"24","108","25","true"
"25","87","27","true","25","45","10","true",,,,,"25","107","25","true"
"26","89","27","true","26","45","10","true",,,,,"26","105","25","true"
"27","92","27","true","27","40","10","true",,,,,"27","108","25","true"
"28","97","27","true","28","38","10","true",,,,,"28","107","25","true"
"29","103","27","true","29","36","10","true",,,,,"29","107","25","true"
"30","108","27","true","30","38","10","true",,,,,"30","110","25","true"
"31","111","27","true","31","40","10","true",,,,,"31","112","25","true"
"32","113","27","true","32","41","10","true",,,,,"32","118","25","true"
"33","119","27","true","33","37","10","true",,,,,"33","118","25","true"
"34","121","27","true","34","36","10","true",,,,,"34","122","25","true"
"35","121","27","true","35","37","10","true",,,,,"35","125","25","true"
"36","126","27","true","36","39","10","true",,,,,"36","129","25","true"
"37","127","27","true","37","39","10","true",,,,,"37","130","25","true"
"38","130","27","true","38","41","10","true",,,,,"38","135","25","true"
"39","135","27","true","39","44","10","true",,,,,"39","142","25","true"
"40","140","27","true","40","42","10","true",,,,,"40","138","25","true"
"41","143","27","true","41","43","10","true",,,,,"41","145","25","true"
"42","147","27","true","42","44","10","true",,,,,"42","147","25","true"
"43","152","27","true","43","44","10","true",,,,,"43","153","25","true"
"44","153","27","true","44","45","10","true",,,,,"44","151","25","true"
"45","157","27","true","45","45","10","true",,,,,"45","150","25","true"
"46","158","27","true","46","45","10","true",,,,,"46","152","25","true"
"47","162","27","true","47","46","10","true",,,,,"47","159","25","true"
"48","168","27","true","48","50","10","true",,,,,"48","161","25","true"
"49","168","27","true","49","53","10","true",,,,,"49","163","25","true"
"50","174","27","true","50","55","10","true",,,,,"50","165","25","true"
"51","179","27","true","51","57","10","true",,,,,"51","169","25","true"
"52","181","27","true","52","61","10","true",,,,,"52","174","25","true"
"53","184","27","true","53","60","10","true",,,,,"53","178","25","true"
"54","194","27","true","54","61","10","true",,,,,"54","183","25","true"
"55","201","27","true","55","64","10","true",,,,,"55","186","25","true"
"56","209","27","true","56","64","10","true",,,,,"56","193","25","true"
"57","214","27","true","57","67","10","true",,,,,"57","195","25","true"
"58","218","27","true","58","65","10","true",,,,,"58","193","25","true"
"59","222","27","true","59","67","10","true",,,,,"59","198","25","true"
"60","229","27","true","60","70","10","true",,,,,"60","199","25","true"
"61","235","27","true","61","70","10","true",,,,,"61","199","25","true"
"62","236","27","true","62","74","10","true",,,,,"62","200","25","true"
"63","241","27","true","63","77","10","true",,,,,"63","198","25","true"
"64","242","27","true","64","74","10","true",,,,,"64","199","25","true"
"65","241","27","true","65","76","10","true",,,,,"65","201","25","true"
"66","242","27","true","66","80","10","true",,,,,"66","205","25","true"
"67","241","27","true","67","83","10","true",,,,,"67","206","25","true"
"68","240","27","true","68","83","10","true",,,,,"68","205","25","true"
"69","244","27","true","69","86","10","true",,,,,"69","202","25","true"
"70","243","27","true","70","89","10","true",,,,,"70","204","25","true"
"71","246","27","true","71","93","10","true",,,,,"71","207","25","true"
"72","248","27","true","72","97","10","true",,,,,"72","212","25","true"
"73","241","27","true","73","103","10","true",,,,,"73","215","25","true"
"74","244","27","true","74","105","10","true",,,,,"74","213","25","true"
"75","244","27","true","75","108","10","true",,,,,"75","216","25","true"
"76","255","27","true","76","113","10","true",,,,,"76","218","25","true"
"77","250","27","true","77","118","10","true",,,,,"77","218","25","true"
